name,city,state,state_name,state_slug,zip,county,population,slug,combined_rate,combined_rate_pct,taxable,jurisdiction_levels,needs_review,address_valid,seo_title,meta_description,intro_text,seo_content
"Abbeville, South Carolina",Abbeville,SC,South Carolina,south-carolina,29620,Abbeville,,abbeville-south-carolina,0.07000,7%,true,STATE|LOCAL,false,skipped,"Abbeville, South Carolina Sales Tax Calculator","Find the current sales tax in Abbeville, South Carolina. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Abbeville, South Carolina. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Abbeville, South Carolina</h2><p>Sales tax in Abbeville isn't a single flat rate — it's South Carolina's statewide rate combined with local taxes added by Abbeville County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Abbeville sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Abbeville's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Abbeville County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how South Carolina treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Abilene, Texas",Abilene,TX,Texas,texas,79604,Taylor,120099,abilene-texas,0.06250,6.25%,true,STATE,true,skipped,"Abilene, Texas Sales Tax Calculator","Find the current sales tax in Abilene, Texas. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Abilene, Texas. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Abilene, Texas</h2><p>Sales tax in Abilene isn't a single flat rate — it's Texas's statewide rate combined with local taxes added by Taylor County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Abilene sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Abilene's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Taylor County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Texas treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Addison, Texas",Addison,TX,Texas,texas,75001,Dallas,,addison-texas,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Addison, Texas Sales Tax Calculator","Find the current sales tax in Addison, Texas. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Addison, Texas. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Addison, Texas</h2><p>Sales tax in Addison isn't a single flat rate — it's Texas's statewide rate combined with local taxes added by Dallas County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Addison sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Addison's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Dallas County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Texas treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Adena, Ohio",Adena,OH,Ohio,ohio,43901,Jefferson,,adena-ohio,0.07250,7.25%,true,STATE|COUNTY,false,skipped,"Adena, Ohio Sales Tax Calculator","Find the current sales tax in Adena, Ohio. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Adena, Ohio. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Adena, Ohio</h2><p>Sales tax in Adena isn't a single flat rate — it's Ohio's statewide rate combined with local taxes added by Jefferson County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Adena sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Adena's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Jefferson County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Ohio treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Agawam, Massachusetts",Agawam,MA,Massachusetts,massachusetts,01001,Hampden,,agawam-massachusetts,0.06250,6.25%,true,STATE,false,skipped,"Agawam, Massachusetts Sales Tax Calculator","Find the current sales tax in Agawam, Massachusetts. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Agawam, Massachusetts. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Agawam, Massachusetts</h2><p>Sales tax in Agawam isn't a single flat rate — it's Massachusetts's statewide rate combined with local taxes added by Hampden County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Agawam sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Agawam's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Hampden County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Massachusetts treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Agoura Hills, California",Agoura Hills,CA,California,california,91301,Los Angeles,,agoura-hills-california,0.09750,9.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Agoura Hills, California Sales Tax Calculator","Find the current sales tax in Agoura Hills, California. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Agoura Hills, California. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Agoura Hills, California</h2><p>Sales tax in Agoura Hills isn't a single flat rate — it's California's statewide rate combined with local taxes added by Los Angeles County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Agoura Hills sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Agoura Hills's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Los Angeles County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how California treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Akron, Ohio",Akron,OH,Ohio,ohio,44328,Summit,198100,akron-ohio,0.06750,6.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Akron, Ohio Sales Tax Calculator","Find the current sales tax in Akron, Ohio. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Akron, Ohio. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Akron, Ohio</h2><p>Sales tax in Akron isn't a single flat rate — it's Ohio's statewide rate combined with local taxes added by Summit County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Akron sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Akron's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Summit County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Ohio treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Alameda, California",Alameda,CA,California,california,94501,Alameda,76419,alameda-california,0.10750,10.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Alameda, California Sales Tax Calculator","Find the current sales tax in Alameda, California. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Alameda, California. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Alameda, California</h2><p>Sales tax in Alameda isn't a single flat rate — it's California's statewide rate combined with local taxes added by Alameda County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Alameda sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Alameda's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Alameda County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how California treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Alamo, Texas",Alamo,TX,Texas,texas,78516,Hidalgo,,alamo-texas,0.08250,8.25%,true,STATE|CITY,false,skipped,"Alamo, Texas Sales Tax Calculator","Find the current sales tax in Alamo, Texas. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Alamo, Texas. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Alamo, Texas</h2><p>Sales tax in Alamo isn't a single flat rate — it's Texas's statewide rate combined with local taxes added by Hidalgo County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Alamo sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Alamo's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Hidalgo County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Texas treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Albany, Georgia",Albany,GA,Georgia,georgia,31701,Dougherty,76185,albany-georgia,0.08000,8%,true,STATE|COUNTY,false,skipped,"Albany, Georgia Sales Tax Calculator","Find the current sales tax in Albany, Georgia. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Albany, Georgia. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Albany, Georgia</h2><p>Sales tax in Albany isn't a single flat rate — it's Georgia's statewide rate combined with local taxes added by Dougherty County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Albany sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Albany's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Dougherty County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Georgia treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
