name,city,state,state_name,state_slug,zip,county,population,slug,combined_rate,combined_rate_pct,taxable,jurisdiction_levels,needs_review,address_valid,seo_title,meta_description,intro_text,seo_content
"Atherton, California",Atherton,CA,California,california,94027,San Mateo,,atherton-california,0.09375,9.375%,true,STATE|COUNTY|DISTRICT,false,skipped,"Atherton, California Sales Tax Calculator","Find the current sales tax in Atherton, California. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Atherton, California. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Atherton, California</h2><p>Sales tax in Atherton isn't a single flat rate — it's California's statewide rate combined with local taxes added by San Mateo County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Atherton sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Atherton's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to San Mateo County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how California treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Amboy, Indiana",Amboy,IN,Indiana,indiana,46911,Miami,,amboy-indiana,0.07000,7%,true,STATE,false,skipped,"Amboy, Indiana Sales Tax Calculator","Find the current sales tax in Amboy, Indiana. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Amboy, Indiana. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Amboy, Indiana</h2><p>Sales tax in Amboy isn't a single flat rate — it's Indiana's statewide rate combined with local taxes added by Miami County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Amboy sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Amboy's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Miami County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Indiana treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Batavia, New York",Batavia,NY,New York,new-york,14020,Genesee,,batavia-new-york,0.08000,8%,true,STATE|LOCAL,false,skipped,"Batavia, New York Sales Tax Calculator","Find the current sales tax in Batavia, New York. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Batavia, New York. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Batavia, New York</h2><p>Sales tax in Batavia isn't a single flat rate — it's New York's statewide rate combined with local taxes added by Genesee County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Batavia sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Batavia's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Genesee County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how New York treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Angola, New York",Angola,NY,New York,new-york,14006,Erie,,angola-new-york,0.08750,8.75%,true,STATE|LOCAL,false,skipped,"Angola, New York Sales Tax Calculator","Find the current sales tax in Angola, New York. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Angola, New York. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Angola, New York</h2><p>Sales tax in Angola isn't a single flat rate — it's New York's statewide rate combined with local taxes added by Erie County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Angola sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Angola's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Erie County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how New York treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Banner Elk, North Carolina",Banner Elk,NC,North Carolina,north-carolina,28604,Avery,,banner-elk-north-carolina,0.06750,6.75%,true,STATE|COUNTY,false,skipped,"Banner Elk, North Carolina Sales Tax Calculator","Find the current sales tax in Banner Elk, North Carolina. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Banner Elk, North Carolina. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Banner Elk, North Carolina</h2><p>Sales tax in Banner Elk isn't a single flat rate — it's North Carolina's statewide rate combined with local taxes added by Avery County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Banner Elk sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Banner Elk's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Avery County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how North Carolina treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Andover, Illinois",Andover,IL,Illinois,illinois,61233,Henry,,andover-illinois,0.07750,7.75%,true,STATE|COUNTY,false,skipped,"Andover, Illinois Sales Tax Calculator","Find the current sales tax in Andover, Illinois. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Andover, Illinois. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Andover, Illinois</h2><p>Sales tax in Andover isn't a single flat rate — it's Illinois's statewide rate combined with local taxes added by Henry County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Andover sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Andover's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Henry County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Illinois treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Alton, Illinois",Alton,IL,Illinois,illinois,62002,Madison,,alton-illinois,0.07850,7.85%,true,STATE|CITY|DISTRICT,false,skipped,"Alton, Illinois Sales Tax Calculator","Find the current sales tax in Alton, Illinois. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Alton, Illinois. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Alton, Illinois</h2><p>Sales tax in Alton isn't a single flat rate — it's Illinois's statewide rate combined with local taxes added by Madison County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Alton sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Alton's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Madison County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Illinois treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Auburn, Georgia",Auburn,GA,Georgia,georgia,30011,Barrow,,auburn-georgia,0.08000,8%,true,STATE|COUNTY,false,skipped,"Auburn, Georgia Sales Tax Calculator","Find the current sales tax in Auburn, Georgia. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Auburn, Georgia. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Auburn, Georgia</h2><p>Sales tax in Auburn isn't a single flat rate — it's Georgia's statewide rate combined with local taxes added by Barrow County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Auburn sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Auburn's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Barrow County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Georgia treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Ava, Illinois",Ava,IL,Illinois,illinois,62907,Jackson,,ava-illinois,0.07250,7.25%,true,STATE|COUNTY,false,skipped,"Ava, Illinois Sales Tax Calculator","Find the current sales tax in Ava, Illinois. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Ava, Illinois. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Ava, Illinois</h2><p>Sales tax in Ava isn't a single flat rate — it's Illinois's statewide rate combined with local taxes added by Jackson County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Ava sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Ava's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Jackson County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how Illinois treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
"Beach, North Dakota",Beach,ND,North Dakota,north-dakota,58621,Golden Valley,,beach-north-dakota,0.07000,7%,true,STATE|CITY,false,skipped,"Beach, North Dakota Sales Tax Calculator","Find the current sales tax in Beach, North Dakota. Enter a price and category in the calculator to see the exact tax and total, broken down by state, county, and local district.","Use the calculator below to find the current sales tax in Beach, North Dakota. Enter a purchase amount to see the exact tax, broken down by state, county, and local district.","<h2>How sales tax works in Beach, North Dakota</h2><p>Sales tax in Beach isn't a single flat rate — it's North Dakota's statewide rate combined with local taxes added by Golden Valley County and any city or special districts that cover the address. Because those local pieces differ from one area to the next, the total can vary between ZIP codes even within the same city. The Beach sales tax calculator above looks up the current rate for the address, so you always see today's figure rather than one that's drifted out of date.</p><h3>Calculating sales tax on a purchase</h3><p>Enter the price in the calculator above and choose a category. It applies Beach's current combined rate and breaks the result down by jurisdiction, so you can see how much goes to the state, to Golden Valley County, and to local districts. Because the rate updates automatically, the total stays accurate even after local rates change.</p><h3>What's taxable, and what isn't</h3><p>Not everything is taxed the same way. Most tangible goods are fully taxable, but groceries and prescription medicine are often exempt or taxed at a reduced rate, and some services fall outside sales tax altogether. Prepared food, clothing, and general merchandise are usually taxed in full. Switch the category in the calculator to see how North Dakota treats a specific purchase before you buy it or set up tax on what you sell.</p><h3>Common questions</h3><p><strong>Why does the rate differ between nearby cities?</strong> Counties, cities, and special districts each set their own local sales tax, and they don't all charge the same amount. A neighboring town can sit in a different district and come out slightly higher or lower, even when the state portion is identical.</p><p><strong>How often does the rate change?</strong> Statewide rates rarely move, but local rates can change when voters approve new district taxes — usually at the start of a calendar quarter. That's why the calculator looks up the current rate instead of relying on a fixed number, and why Zamp tracks those changes across every U.S. jurisdiction for the businesses that file here.</p>"
