city,state,zip,county,population,slug,combined_rate,combined_rate_pct,taxable,jurisdiction_levels,needs_review,address_valid,seo_title,meta_description,intro_text
New York,NY,10112,New York,8405837,new-york-ny,0.08875,8.875%,true,STATE|LOCAL,false,skipped,"New York, NY Sales Tax Calculator","The combined sales tax rate in New York, NY is 8.875%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in New York, NY is 8.875%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Los Angeles,CA,90007,Los Angeles,3884307,los-angeles-ca,0.09750,9.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Los Angeles, CA Sales Tax Calculator","The combined sales tax rate in Los Angeles, CA is 9.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Los Angeles, CA is 9.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Chicago,IL,60608,Cook,2718782,chicago-il,0.10250,10.25%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Chicago, IL Sales Tax Calculator","The combined sales tax rate in Chicago, IL is 10.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Chicago, IL is 10.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Houston,TX,77008,Harris,2195914,houston-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Houston, TX Sales Tax Calculator","The combined sales tax rate in Houston, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Houston, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Philadelphia,PA,19133,Philadelphia,1553165,philadelphia-pa,0.07000,7%,true,STATE|COUNTY,false,skipped,"Philadelphia, PA Sales Tax Calculator","The combined sales tax rate in Philadelphia, PA is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Philadelphia, PA is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Phoenix,AZ,85013,Maricopa,1513367,phoenix-az,0.09100,9.1%,true,STATE|COUNTY|CITY,false,skipped,"Phoenix, AZ Sales Tax Calculator","The combined sales tax rate in Phoenix, AZ is 9.1%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Phoenix, AZ is 9.1%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
San Antonio,TX,78284,Bexar,1409019,san-antonio-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"San Antonio, TX Sales Tax Calculator","The combined sales tax rate in San Antonio, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in San Antonio, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
San Diego,CA,92103,San Diego,1355896,san-diego-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"San Diego, CA Sales Tax Calculator","The combined sales tax rate in San Diego, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in San Diego, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Dallas,TX,75204,Dallas,1257676,dallas-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Dallas, TX Sales Tax Calculator","The combined sales tax rate in Dallas, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Dallas, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
San Jose,CA,95172,Santa Clara,998537,san-jose-ca,0.10000,10%,true,STATE|COUNTY|DISTRICT,false,skipped,"San Jose, CA Sales Tax Calculator","The combined sales tax rate in San Jose, CA is 10%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in San Jose, CA is 10%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Austin,TX,78703,Travis,885400,austin-tx,0.08250,8.25%,true,STATE|DISTRICT,false,skipped,"Austin, TX Sales Tax Calculator","The combined sales tax rate in Austin, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Austin, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Indianapolis,IN,46296,Marion,843393,indianapolis-in,0.07000,7%,true,STATE,false,skipped,"Indianapolis, IN Sales Tax Calculator","The combined sales tax rate in Indianapolis, IN is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Indianapolis, IN is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Jacksonville,FL,32202,Duval,842583,jacksonville-fl,0.07500,7.5%,true,STATE|COUNTY,false,skipped,"Jacksonville, FL Sales Tax Calculator","The combined sales tax rate in Jacksonville, FL is 7.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Jacksonville, FL is 7.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
San Francisco,CA,94119,City and County of San Francisco,837442,san-francisco-ca,0.08625,8.625%,true,STATE|COUNTY|DISTRICT,false,skipped,"San Francisco, CA Sales Tax Calculator","The combined sales tax rate in San Francisco, CA is 8.625%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in San Francisco, CA is 8.625%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Columbus,OH,43201,Franklin,822553,columbus-oh,0.08000,8%,true,STATE|COUNTY|DISTRICT,false,skipped,"Columbus, OH Sales Tax Calculator","The combined sales tax rate in Columbus, OH is 8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Columbus, OH is 8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Charlotte,NC,28204,Mecklenburg,792862,charlotte-nc,0.07250,7.25%,true,STATE|COUNTY,false,skipped,"Charlotte, NC Sales Tax Calculator","The combined sales tax rate in Charlotte, NC is 7.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Charlotte, NC is 7.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Fort Worth,TX,76102,Tarrant,792727,fort-worth-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Fort Worth, TX Sales Tax Calculator","The combined sales tax rate in Fort Worth, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Fort Worth, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Detroit,MI,48208,Wayne,688701,detroit-mi,0.06000,6%,true,STATE,false,skipped,"Detroit, MI Sales Tax Calculator","The combined sales tax rate in Detroit, MI is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Detroit, MI is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
El Paso,TX,79907,El Paso,674433,el-paso-tx,0.08250,8.25%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"El Paso, TX Sales Tax Calculator","The combined sales tax rate in El Paso, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in El Paso, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
