city,state,zip,county,population
Cassopolis,MI,49031,Cass,
Avalon,NJ,08202,Cape May,
Alamo,TX,78516,Hidalgo,
Bronson,FL,32621,Levy,
Coahoma,TX,79511,Howard,
Colon,MI,49040,St. Joseph,
Conger,MN,56020,Freeborn,
Crossville,IL,62827,White,
Losantville,IN,47354,Randolph,
Maybrook,NY,12543,Orange,
Reno,NV,89507,Washoe,
Altamont,TN,37301,Grundy,
Baden,PA,15005,Beaver,
Bainbridge Island,WA,98110,Kitsap,
Balch Springs,TX,75180,Dallas,
Bradford,IL,61421,Stark,
Burgettstown,PA,15021,Washington,
Canajoharie,NY,13317,Montgomery,
Castleton On Hudson,NY,12033,Rensselaer,
Cheboygan,MI,49721,Cheboygan,
Davison,MI,48423,Genesee,
Doerun,GA,31744,Colquitt,
Dublin,VA,24084,Pulaski,
Elsberry,MO,63343,Lincoln,
Englishtown,NJ,07726,Monmouth,
Factoryville,PA,18419,Wyoming,
Fairfield,OH,45018,Butler,
Galax,VA,24333,Galax (city),
Hahira,GA,31632,Lowndes,
Jeffersonville,OH,43128,Fayette,
Junction City,KS,66441,Geary,
Kress,TX,79052,Swisher,
Lakeview,OH,43331,Logan,
Leicester,NY,14481,Livingston,
Lemoyne,PA,17043,Cumberland,
Lowellville,OH,44436,Mahoning,
Macomb,IL,61455,McDonough,
Macon,MO,63552,Macon,
Mishicot,WI,54228,Manitowoc,
Mount Calvary,WI,53057,Fond du Lac,
Mount Rainier,MD,20712,Prince George's,
Nanty Glo,PA,15943,Cambria,
Nelsonville,WI,54458,Portage,
Newburg,MO,65550,Phelps,
Post Falls,ID,83854,Kootenai,
Riverside,MO,64150,Platte,
Snow Hill,MD,21863,Worcester,
Spring Valley,WI,54767,Pierce,
Saint Cloud,WI,53079,Fond du Lac,
Summersville,MO,65571,Texas,
Venice,IL,62090,Madison,
Victor,CO,80860,Teller,
Whiting,IN,46394,Lake,
Wolverine,MI,49799,Cheboygan,
Abbeville,SC,29620,Abbeville,
Addison,TX,75001,Dallas,
Adena,OH,43901,Jefferson,
Agawam,MA,01001,Hampden,
Agoura Hills,CA,91301,Los Angeles,
Albion,PA,16401,Erie,
Allen,OK,74825,Pontotoc,
Almond,NY,14804,Allegany,
Alto,TX,75925,Cherokee,
Amazonia,MO,64421,Andrew,
Amsterdam,NY,12010,Montgomery,
Antioch,IL,60002,Lake,
Apollo,PA,15613,Westmoreland,
Apple Valley,CA,92308,San Bernardino,
Appleton,WI,54913,Outagamie,
Arcadia,CA,91066,Los Angeles,
Arlington,GA,39813,Columbia,
Arlington,WA,98223,Snohomish,
Arnett,OK,73832,Ellis,
Arp,TX,75750,Smith,
Artesia,CA,90702,Los Angeles,
Ashtabula,OH,44005,Ashtabula,
Athens,GA,30603,Clarke,
Athens,OH,45701,Athens,
Athens,MI,49011,Calhoun,
Athens,WI,54411,Marathon,
Atlanta,MO,63530,Macon,
Atwater,MN,56209,Kandiyohi,
Auburn,NY,13022,Cayuga,
Augusta,GA,30909,Richmond,
Augusta,WI,54722,Eau Claire,
Aurora,CO,80018,Arapahoe,
Aurora,IN,47001,Dearborn,
Austell,GA,30106,Cobb,
Autaugaville,AL,36003,Autauga,
Avon,CO,81620,Eagle,
Azle,TX,76098,Parker,
Baltimore,MD,21201,Baltimore (city),
Bangor,PA,18013,Northampton,
Barstow,TX,79719,Ward,
Barwick,GA,31720,Brooks,
Battle Ground,IN,47920,Tippecanoe,
Bayfield,CO,81122,La Plata,
Beckley,WV,25801,Raleigh,
Bellaire,TX,77401,Harris,
Belle Center,OH,43310,Logan,
Belleview,FL,34421,Marion,
Bellevue,ID,83313,Blaine,
Belmore,OH,45815,Putnam,
Belton,TX,76513,Bell,
Bendersville,PA,17306,Adams,
Benson,MN,56215,Swift,
Berrysburg,PA,17005,Dauphin,
Bethel,MN,55005,Anoka,
Beulaville,NC,28518,Duplin,
Big Falls,WI,54926,Waupaca,
Biscoe,NC,27209,Montgomery,
Black Diamond,WA,98010,King,
Blackwater,MO,65322,Cooper,
Blaine,WA,98231,Whatcom,
Blanca,CO,81123,Costilla,
Bloomington,IL,61710,McLean,
Boise,ID,83705,Ada,
Bolingbrook,IL,60490,Will,
Boonville,NY,13309,Oneida,
Bradford,PA,16701,McKean,
Brea,CA,92821,Orange,
Broadview Heights,OH,44147,Cuyahoga,
Bromide,OK,74530,Johnston,
Brookeville,MD,20833,Montgomery,
Brownstown,IL,62418,Fayette,
Buford,GA,30518,Gwinnett,
Burbank,IL,60459,Cook,
Burlingame,CA,94010,San Mateo,
Butler,IN,46721,DeKalb,
Cadillac,MI,49601,Wexford,
Calhoun,KY,42327,McLean,
Camden,MI,49232,Hillsdale,
Cameron,OK,74932,Le Flore,
Cameron,TX,76520,Milam,
Camp Douglas,WI,54618,Juneau,
Canal Fulton,OH,44614,Stark,
Carbondale,IL,62901,Jackson,
Carrier,OK,73727,Garfield,
Carrollton,AL,35447,Pickens,
Carrollton,GA,30112,Carroll,
Carrollton,MO,64633,Carroll,
Cashton,WI,54619,Monroe,
Casnovia,MI,49318,Muskegon,
Castalia,OH,44824,Erie,
