city,state,zip,county,population
Atherton,CA,94027,San Mateo,
Amboy,IN,46911,Miami,
Batavia,NY,14020,Genesee,
Angola,NY,14006,Erie,
Banner Elk,NC,28604,Avery,
Andover,IL,61233,Henry,
Alton,IL,62002,Madison,
Auburn,GA,30011,Barrow,
Ava,IL,62907,Jackson,
Beach,ND,58621,Golden Valley,
Auburntown,TN,37016,Cannon,
Atascadero,CA,93422,San Luis Obispo,
American Canyon,CA,94503,Napa,
Anderson,MO,64831,McDonald,
Baldwin,WI,54002,St. Croix,
Ayden,NC,28513,Pitt,
Ava,MO,65608,Douglas,
Anthony,TX,79821,El Paso,
Aberdeen,WA,98520,Grays Harbor,
Albion,IL,62806,Edwards,
Adamsville,TN,38310,McNairy,
Alpena,MI,49707,Alpena,
Bartow,FL,33830,Polk,
Aragon,GA,30104,Polk,
Anna Maria,FL,34216,Manatee,
Anderson,IN,46016,Madison,
Armagh,PA,15920,Indiana,
Alma,CO,80420,Park,
Altus,OK,73521,Jackson,
Ashland,KY,41102,Boyd,
Ashland,MO,65010,Boone,
Augusta,MI,49012,Kalamazoo,
Brookville,OH,45309,Montgomery,
Brownsville,TN,38012,Haywood,
Brookfield,WI,53008,Waukesha,
Borger,TX,79007,Hutchinson,
Bloomingburg,NY,12721,Sullivan,
Brookshire,TX,77423,Waller,
Bell,CA,90202,Los Angeles,
Bowling Green,FL,33834,Hardee,
Bonham,TX,75418,Fannin,
Brimfield,IL,61517,Peoria,
Brocton,NY,14716,Chautauqua,
Bronson,MI,49028,Branch,
Brawley,CA,92227,Imperial,
Bluff City,TN,37618,Sullivan,
Breckenridge,MI,48615,Gratiot,
Bethel,NC,27812,Pitt,
Bothell,WA,98021,Snohomish,
Bridgeview,IL,60455,Cook,
Burkeville,VA,23922,Nottoway,
Bushnell,FL,33513,Sumter,
Bell Gardens,CA,90201,Los Angeles,
Belleville,KS,66935,Republic,
Brandon,SD,57005,Minnehaha,
Brewster,MN,56119,Nobles,
Broadway,NC,27505,Lee,
Bethalto,IL,62010,Madison,
Big Lake,TX,76932,Reagan,
Brownsburg,IN,46112,Hendricks,
Blackshear,GA,31516,Pierce,
Bristol,TN,37620,Sullivan,
Beaufort,NC,28516,Carteret,
Blomkest,MN,56216,Kandiyohi,
Braselton,GA,30517,Jackson,
Blountstown,FL,32424,Calhoun,
Boulder City,NV,89006,Clark,
Briarcliff Manor,NY,10510,Westchester,
Brownfield,TX,79316,Terry,
Bridgeton,MO,63044,St. Louis,
Benton,KS,67017,Butler,
Benjamin,TX,79505,Knox,
Blakely,GA,39823,Clay,
Brazoria,TX,77422,Brazoria,
Dadeville,MO,65635,Dade,
Chicopee,MA,01020,Hampden,
Cedar Hill,TX,75104,Dallas,
Corning,NY,14830,Steuben,
Caldwell,TX,77836,Burleson,
Cherryville,NC,28021,Gaston,
Clinton,NC,28328,Sampson,
Cleveland,TN,37320,Bradley,
Clermont,FL,34712,Lake,
Clairton,PA,15025,Allegheny,
Cottleville,MO,63338,Saint Charles,
Clyde,OH,43410,Sandusky,
Claremont,NC,28610,Catawba,
Centralia,MO,65240,Boone,
Carthage,TX,75633,Panola,
Canton,IL,61520,Fulton,
Carrollton,IL,62016,Greene,
Caseville,MI,48725,Huron,
Clearlake,CA,95422,Lake,
Cohasset,MN,55721,Itasca,
Charleston,MO,63834,Mississippi,
Charleston,IL,61920,Coles,
Conshohocken,PA,19429,Montgomery,
Comanche,TX,76442,Comanche,
Cairo,GA,39827,Grady,
Crocker,MO,65452,Pulaski,
Cherry Tree,PA,15724,Indiana,
Carmi,IL,62821,White,
Calimesa,CA,92320,Riverside,
Camp Wood,TX,78833,Real,
Crawfordsville,IN,47933,Montgomery,
Crewe,VA,23930,Nottoway,
Chanute,KS,66720,Neosho,
Craig,CO,81625,Moffat,
Cornersville,TN,37047,Marshall,
Collingswood,NJ,08108,Camden,
Chillicothe,IL,61523,Peoria,
Casselberry,FL,32707,Seminole,
Cave Spring,GA,30124,Floyd,
Dodge City,KS,67801,Ford,
East Prairie,MO,63845,Mississippi,
Drexel,MO,64742,Bates,
Douglas,GA,31533,Coffee,
Dansville,MI,48819,Ingham,
Easton,PA,18043,Northampton,
Des Plaines,IL,60017,Cook,
Downs,KS,67437,Osborne,
Demorest,GA,30535,Habersham,
Dupont,IN,47231,Jefferson,
East Palestine,OH,44413,Columbiana,
East Wenatchee,WA,98802,Douglas,
Eastport,ME,04631,Washington,
Ethel,MO,63539,Macon,
Elburn,IL,60119,Kane,
Durand,MI,48429,Shiawassee,
Dakota City,NE,68731,Dakota,
Danvers,IL,61732,McLean,
Dundas,MN,55019,Rice,
Diamond Bar,CA,91765,Los Angeles,
Ellijay,GA,30540,Gilmer,
Elmira,NY,14901,Chemung,
Elmsford,NY,10523,Westchester,
Denton,NC,27239,Davidson,
Ellsworth,MI,49729,Antrim,
East Moline,IL,61244,Rock Island,
Deer Park,WA,99006,Spokane,
Decatur,TX,76234,Wise,
Dawsonville,GA,30534,Dawson,
Delevan,NY,14042,Cattaraugus,
East Alton,IL,62024,Madison,
Duenweg,MO,64841,Jasper,
Daytona Beach,FL,32114,Volusia,
Daggett,MI,49821,Menominee,
Douglass,KS,67039,Butler,
East Syracuse,NY,13057,Onondaga,
Destin,FL,32540,Okaloosa,
Duncanville,TX,75116,Dallas,
East Dubuque,IL,61025,Jo Daviess,
De Ruyter,NY,13052,Madison,
Decatur,TN,37322,Meigs,
Dallas,GA,30157,Paulding,
Delray Beach,FL,33445,Palm Beach,
Ellis,KS,67637,Ellis,
Deersville,OH,44693,Harrison,
Fairlawn,OH,44334,Summit,
Farmingdale,NY,11737,Nassau,
Exeter,CA,93221,Tulare,
Fabius,NY,13063,Onondaga,
Felicity,OH,45120,Clermont,
Ferndale,MI,48220,Oakland,
Farmington,WA,99128,Whitman,
Frankfort,NY,13340,Herkimer,
Garden City,MO,64747,Cass,
