city,state,zip,county,population
New York,NY,10112,New York,8405837
Los Angeles,CA,90007,Los Angeles,3884307
Chicago,IL,60608,Cook,2718782
Houston,TX,77008,Harris,2195914
Philadelphia,PA,19133,Philadelphia,1553165
Phoenix,AZ,85013,Maricopa,1513367
San Antonio,TX,78284,Bexar,1409019
San Diego,CA,92103,San Diego,1355896
Dallas,TX,75204,Dallas,1257676
San Jose,CA,95172,Santa Clara,998537
Austin,TX,78703,Travis,885400
Indianapolis,IN,46296,Marion,843393
Jacksonville,FL,32202,Duval,842583
San Francisco,CA,94119,City and County of San Francisco,837442
Columbus,OH,43201,Franklin,822553
Charlotte,NC,28204,Mecklenburg,792862
Fort Worth,TX,76102,Tarrant,792727
Detroit,MI,48208,Wayne,688701
El Paso,TX,79907,El Paso,674433
Memphis,TN,38112,Shelby,653450
Seattle,WA,98164,King,652405
Denver,CO,80208,Denver,649495
Washington,DC,20436,District of Columbia,646449
Boston,MA,02210,Suffolk,645966
Nashville,TN,37222,Davidson,634464
Baltimore,MD,21201,Baltimore (city),622104
Oklahoma City,OK,73111,Oklahoma,610613
Louisville,KY,40205,Jefferson,609893
Portland,OR,97204,Multnomah,609456
Las Vegas,NV,89102,Clark,603488
Milwaukee,WI,53208,Milwaukee,599164
Albuquerque,NM,87102,Bernalillo,556495
Tucson,AZ,85721,Pima,526116
Fresno,CA,93727,Fresno,509924
Sacramento,CA,95816,Sacramento,479686
Long Beach,CA,90813,Los Angeles,469428
Kansas City,MO,64106,Jackson,467007
Mesa,AZ,85213,Maricopa,457587
Virginia Beach,VA,23460,Virginia Beach (city),448479
Atlanta,GA,30305,Fulton,447841
Colorado Springs,CO,80909,El Paso,439886
Omaha,NE,68132,Douglas,434353
Raleigh,NC,27608,Wake,431746
Miami,FL,33134,Miami-Dade,417650
Oakland,CA,94606,Alameda,406253
Minneapolis,MN,55405,Hennepin,400070
Tulsa,OK,74120,Tulsa,398121
Cleveland,OH,44103,Cuyahoga,390113
Wichita,KS,67201,Sedgwick,386552
Arlington,TX,76013,Tarrant,379577
New Orleans,LA,70141,Jefferson Parish,378715
Bakersfield,CA,93307,Kern,363630
Tampa,FL,33606,Hillsborough,352957
Honolulu,HI,96823,Honolulu,347884
Aurora,CO,80018,Arapahoe,345803
Anaheim,CA,92805,Orange,345012
Santa Ana,CA,92702,Orange,334227
St. Louis,MO,63112,St. Louis (city),318416
Riverside,CA,92502,Riverside,316619
Corpus Christi,TX,78416,Nueces,316381
Pittsburgh,PA,15212,Allegheny,305841
Anchorage,AK,99507,Anchorage Municipality,300950
Stockton,CA,95211,San Joaquin,298118
Cincinnati,OH,45217,Hamilton,297517
St. Paul,MN,55155,Ramsey,294873
Toledo,OH,43608,Lucas,282313
Greensboro,NC,27412,Guilford,279639
Newark,NJ,07103,Essex,278427
Plano,TX,75023,Collin,274409
